commune_id,codice_postal,superficie,latitude,longitude
0,83020,10.0,40.89125606736036,14.822508535943095
1,83011,14.08,41.00605138990985,14.777436441682676
2,83040,44.05,40.939563,15.326087
3,83041,56.15,40.987877,15.475752
4,83031,186.7,41.15318735809376,15.088857668939156
5,83042,8.59,40.91721982594356,14.830572217133266
6,83021,29.39,40.958787819998605,14.598851954609032
7,83100,30.55,40.91800963711942,14.786731772710974
8,83043,69.21,40.83149861486653,15.070149784866256
9,83022,12.25,40.95275916889386,14.617098437101854
10,83044,102.16,41.01346956549671,15.375036345174207
11,83032,19.02,41.10282383847305,15.00455794430314
12,83040,14.23,40.89547378917207,15.367379397671272
13,83040,56.33,40.78382959278312,15.219875266049575
14,83045,101.28,40.905182,15.426405
15,83040,5.35,40.9422913314066,14.8749596230546
16,83040,41.28,40.81435071842705,15.224361882448171
17,83010,7.49,40.95817361029032,14.774802672245244
18,83040,17.12,41.02859251158158,15.208441291022552
19,83034,28.09,41.23407,15.00692
20,83040,13.07,40.870908396584966,15.027087483346332
21,83040,15.37,41.04744,15.18848
22,83040,12.23,40.9319356332929,15.04293514563454
23,83040,17.17,40.92943505715149,14.987336501955658
24,83012,29.34,41.02223809808493,14.616417400538923
25,83020,4.13,40.89742183685303,14.829019680619242
26,83010,7.01,40.89649538509548,14.828040841966867
27,83040,24.6,40.934479225667225,14.919920218604808
28,83020,10.31,40.868180362901576,14.77490739970938
29,83040,52.04,40.85675137062974,15.335702173856973
30,83020,6.4,40.87995035279263,14.586782262219952
31,83040,34.24,41.08059717543986,15.147593920302503
32,83040,17.15,41.01654096739271,15.018772539559272
33,83020,20.49,40.862613,14.736041
34,83040,38.04,41.012525461472,15.100599997958144
35,83040,27.34,41.00661372693041,15.070246586578286
36,83030,30.27,41.25030824379077,15.170536230686531
37,83035,29.34,41.06921877367535,15.056551189581684
38,83010,7.12,40.97149544745736,14.788096047580416
39,83040,56.01,40.95395691189204,15.208585222210038
40,83046,81.57,41.04990887054246,15.423803018008208
41,83030,15.25,40.982222,14.947222
42,83023,11.29,40.877885,14.633237
43,83047,46.51,40.877768,15.18644
44,83040,6.07,40.98569,14.992101
45,83030,9.15,40.94167944483127,14.845906750415391
46,83020,5.12,40.90045319799364,14.582126572744976
47,83030,21.08,41.1041,15.0532
48,83013,20.32,40.92209,14.73862
49,83036,34.36,41.041,14.9924
50,83030,18.38,41.2481,15.2508
51,83037,54.01,41.196667,15.034167
52,83030,15.15,40.963984097302095,14.884576741850196
53,83024,26.7,40.89205888209706,14.7148589061443
54,83030,9.45,40.95988354999304,14.813557416045729
55,83030,15.15,41.03702576990899,14.854616968025375
56,83048,83.36,40.844118873708936,15.01714323122368
57,83040,34.01,40.91989040855461,14.997098072639178
58,83038,22.04,41.01168125546994,14.907434993618054
59,83049,39.0,40.996829640362016,15.5345912874512
60,83025,40.15,40.83878594960672,14.78303715957018
61,83040,30.41,40.92977875781348,15.242533490863126
62,83020,13.45,40.87426862867667,14.658247209421775
63,83027,12.3,40.94094294292514,14.638319269800132
64,83051,53.6,40.88691359892728,15.083991653949726
65,83014,6.08,40.93993,14.74455
66,83020,5.03,40.89637646331514,14.605609809848072
67,83050,3.22,40.93081699579957,14.886366423029534
68,83052,18.43,40.97253505851617,15.03226644239714
69,83010,3.14,41.031421286041926,14.795530552242282
70,83030,9.24,41.0426461736106,14.883964160206816
71,83015,16.13,40.99238252659637,14.72510933919948
72,83030,11.39,40.98634121716963,14.84086484161647
73,83039,9.24,40.9863830583692,14.85362005074117
74,83020,6.39,40.94784879964667,14.639744166190605
75,83020,24.05,40.864997,14.646564
76,83050,14.41,40.949625,15.167572
77,83016,12.46,41.018642,14.715702
78,83017,8.22,41.032745,14.595171
79,83050,5.36,40.919358,14.889807
80,83050,14.59,40.959092,14.973237
81,83018,23.32,41.02318982591991,14.662346968492676
82,83020,4.47,40.87723968710363,14.855740866997271
83,83050,6.9,41.05891620712529,15.199160260066488
84,83050,4.54,40.92855463181555,14.8730873247717
85,83050,19.19,41.06928474025286,15.20111046975862
86,83053,7.05,40.843397,15.370605
87,83010,11.15,40.9752,14.7405
88,83050,5.39,41.0075,14.9922
89,83054,55.16,40.9277,15.1772
90,83020,4.33,40.8713,14.875
91,83030,8.43,41.022431,14.846439
92,83050,11.18,40.893323,14.867182
93,83030,38.47,41.226933,15.17689
94,83050,15.11,41.0815,15.294691
95,83050,36.39,40.741607,15.205933
96,83028,52.5,40.859533920756085,14.862452189566095
97,83020,6.19,40.94928678123652,14.62916999933912
98,83029,22.21,40.83685472257796,14.845624884710304
99,83050,8.1,40.91783856680576,14.887964943929363
100,83020,4.7,40.9527413634577,14.602542364222646
101,83055,17.07,41.01,15.06
102,83010,12.37,40.950003,14.757562
103,83020,10.17,40.88383217978111,14.634502372655064
104,83030,14.41,41.009869,14.9594435
105,83056,23.21,40.853906,15.254223
106,83057,26.57,40.94297,15.11475
107,83030,10.04,41.02195,14.91052
108,83010,4.22,41.03362,14.81399
109,83058,11.0,41.04976,15.23411
110,83010,6.36,41.01050678033482,14.823707424563969
111,83059,48.31,41.04206226793357,15.276549663967456
112,83050,14.0,41.06447020622377,15.251965643451513
113,83030,14.16,41.0459933518424,14.913967257271782
114,83050,9.04,40.9701731327308,15.088270442212076
115,83030,20.0,41.113692412630265,15.159180319960278
116,83050,32.42,40.87908192062265,14.91681086928005
117,83030,19.0,41.13077207888161,15.202708126592274
