commune_id,patrono
0,San Sebastiano
1,San Bernardino da Siena
2,Sant'Antonio di Padova
3,San Vito Martire
4,Sant' Ottone Frangipane
5,San Sabino
6,San Sebastiano
7,San Modestino
7,San Fiorentino e San Flaviano
8,San Lorenzo
9,Santo Stefano Protomartire
10,Sant'Antonio di Padova
11,San Bonito di Clermont
12,San Leone
13,San Giuseppe
14,San Canio
15,San Filippo Neri
16,San Lorenzo
17,San Nicola di Bari
18,San Giovanni Battista
19,Madonna delle Nevi
20,San Bartolomeo apostolo
21,Santa Maria delle Fratte
22,San Nicola di Bari
23,Madonna delle Grazie
24,San Gennaro
25,San Silvestro Papa e San Rocco da Montpellier
26,San Felice di Nola
27,San Michele Arcangelo
28,San Michele Arcangelo
29,Sant'Erberto
30,San Nicola di Bari
30,San Filippo Neri
31,San Rocco
32,San Nicola
33,San Nicola di Bari
34,San Marciano
35,San Nicola
36,San Bartolomeo apostolo
37,San Tommaso d'Aquino
38,San Egidio Abate
39,San Leone IX Papa
40,San Filippo Neri
41,San Pietro martire
42,San Rocco e San Sebastiano
43,San Rocco
44,San Marcellino
45,San Marco
46,San Trifone
47,Sant'Egidio Abate
48,San Modestino
48,San Fiorentino e San Flaviano
49,Madonna del Latte
50,San Crescenzo
51,San Felice
52,Sant'Antonio di Padova
53,San Martino di Tours
54,San Nicola di Bari
55,SS. Spina di Cristo
56,San Rocco
57,San Giovanni di Montemarano
58,San Gaetano
59,Santa Caterina d'Alessandria
60,San Nicola da Tolentino
61,San Rocco
62,Madonna della Carità
63,Maria SS. delle Grazie
64,Sant'Amato di Nusco
65,Santi Filippo e Giacomo
66,Sant'Antonio di Padova
67,San Rocco
68,San Nicola
69,San Bartolomeo apostolo
70,San Faustino e Sant'Elena
71,San Biagio
72,San Giacomo
73,Madonna Addolorata e San Gerardo
74,San Giovanni Battista
75,SS. Maria delle Grazie
76,San Felice
77,San Giorgio e San Leonardo
78,San Michele Arcangelo
79,SS. Pietro e Paolo
80,San Teodoro
81,San Martino di Tours
82,San Michele Arcangelo
83,San Nicola di Bari
84,
85,San Pietro martire
85,San Sossio Levita e Martire
86,Sant'Andrea apostolo
87,San Michele Arcangelo
88,San Michele Arcangelo
89,San Michele Arcangelo
90,Santa Lucia
91,Santa Paolina
92,San Vito e Santo Stefano
93,San Nicola
93,Sant'Anna
94,San Michele Arcangelo
95,San Michele Arcangelo
96,San Francesco
97,Sant'Andrea apostolo
98,San Michele Arcangelo
99,San Martino
100,Sant'Elia
101,San Domenico di Guzman
102,San Nicola di Bari
103,Maria SS. Assunta in Cielo
104,San Marciano
105,San Nicola
106,Sant'Eustachio
107,San Ciriaco
108,San Michele Arcangelo
109,Sant'Euplio
110,San Michele Arcangelo
111,San Bartolomeo apostolo
112,Santa Maria Immacolata
113,Santa Maria
114,San Rocco e San Paolino di Nola
115,San Giovanni Battista
116,San Nicola di Bari
117,Sant'Anna e San Crescenzo
