commune_id,frazioni
0,Cerqueta
0,Cerquito
0,Le vaglie
0,Serretelle
1,San michele
1,Totari
2,Marcianofreddo
2,San mauro
3,Costa
3,Crisci
3,Capodiconca
3,Signorindico
4,Ponte mezzotta
5,Arianova
5,Baia
5,Cese
5,Corticella
5,Favale
5,Fornace
5,Latina
5,Parco
5,Piedicastello
5,Starza
6,Triflisco
7,Aorivola
7,Caianello vecchio
7,Casinove
7,Cittadella
7,Gaudisciano
7,Lompari
7,Montano
7,Poza
7,Santa lucia
8,San giovanni e paolo
8,Cesarano
9,Calvi vecchia
9,Petrulo
9,Visciano
9,Zuni
10,Leporano
10,Falchi
11,
12,
13,
14,Sant'angelo in formis
15,
16,Casale
16,Nocelleto
16,Ventaroli
17,
18,
19,Arpano
19,Casalnuovo a piro
19,Borgo san lorenzo
20,
21,San giovanni
22,San benedetto
22,Aldifreda
22,Briano
22,Casertavecchia
22,Casola
22,Casolla
22,Centurano
22,Ercole
22,Falciano
22,Garzano
22,Mezzano
22,Piedimonte di casolla
22,Pozzovetere
22,Puccianiello
22,Santa barbara
22,San clemente
22,San leucio
22,Sala
22,Sommana
22,Staturano
22,Tredici
22,Tuoro
22,Vaccheria
23,Squille
24,Ciummiento
24,Finestre
24,Monticello
24,San mauro
24,Sceselunghe
24,Sopra monte
25,Bagnara
25,Baia verde
25,Destra volturno
25,Ischitella
25,Scatozza
25,Seponi
25,Villaggio coppola
25,Pinetamare
25,Villaggio del sole
25,Mazza farro
26,Sasso
26,Prea
26,Strangolagalli e cisterna
27,
28,Baia domizia
28,Baia felice
28,Borgo centore
28,Casamare
29,Carmiano
29,Forchia
29,Messercola
29,Mandorle
29,Morrilli
29,Vittoria
29,Razzani
29,Vigliotti
29,Verdoni
30,
31,Torcino
32,Catailli
32,Cave
32,Orchi
32,Piantoli
32,Pisciariello
32,Potete
32,Tuoripunzoli
32,Vallecardi
32,Vezzara
33,
34,Maiorano di monte
35,
36,
37,
38,Ciamprisco
38,Montanaro
38,Sant'andrea del pizzone
39,
40,Vallelunga
41,Calabritto
41,Campo
41,Mieli
41,San clemente
41,Sipicciano
41,Vaglie
42,Masserie tabasso
43,Audini
43,Calvisi
43,Carattano
43,Caselle
43,Criscia
43,Curti
43,Madonna del bagno
44,Borgo appio
44,Brezza
44,Mercenara
45,
46,
47,Cese
47,Merangeli
47,Profeti
47,San pietro
47,Veccia
47,Villa
48,
49,Casalba
49,Caturano
50,Galazia
50,Grotticella
50,Messercola
50,Montedecoro
50,Sauda
50,Strettola
50,Sant'eustachio
50,Calabricito
50,Casino fortini
50,Saliscendi
51,
52,Ameglio
52,Campagnola
52,Capometa
52,Carangi
52,Cardoni
52,Civitella
52,Macini
52,San lorenzo
52,Sarcioni
52,Terracorpo
52,Torello
52,Tuorocasale
52,Tuorofunaro
52,Vallecupa
53,Campozillone
53,Caspoli
53,Moscuso
54,Le vagnole
54,Pescopagano
55,Casapuzzano
56,
57,Pantuliano
57,San secondino
57,Torre lupara
58,Villa santa croce
59,Piano maturi
59,Sepicciano
60,Località cinquerie
60,San pasquale
61,San felice
61,Castagnato
62,Taverna di pignataro maggiore
62,Tavetsa vecchia
63,Casalicchio
63,Funari
63,Pellegrino
63,Savignano treglia
64,Musicile
65,Casaminiera
65,Collelungo
65,Fragneto
65,La piana pescheto
65,Prata sannita inferiore
65,Prata sannita superiore
65,Sant'agostino
65,Tartari
66,Matrati
66,Roccavecchia
67,Casilina
67,Pentime
68,Case pagana
68,Quattro venti
69,Musicile
70,
71,Bivio mortola
71,Camino
71,Campolongo
71,Casamarina
71,Centro storico
71,Cocuruzzo
71,Mortola
71,Vallevona
72,Ausoni
72,Cari
72,Cembali
72,Cese
72,Cicioni
72,Filorsi
72,Fontanafredda
72,Gallo
72,Garofali
72,Giglioli
72,San domenico
72,Tavola
72,Torano
72,Tuorisichi
72,Tuoro di tavola
73,Santa croce
73,Statigliano
74,Croce
74,Rocchetta
74,Valdassano
75,Alvignanello
76,Casapesenna
76,Casal di principe
76,Villa di briano
76,Villa literno
76,Giugliano in campania
77,Botteghino
77,Cancello
77,Casazenca
77,Cave
77,Grotticella
77,Piedarienzo
77,Polvica
77,Ponti rossi
77,San felice
77,San marco trotti
77,Talanico
77,Vigliotti
78,
79,
80,
81,
82,Colle apone
82,San cataldo
83,
84,
85,Carditello
86,
87,
88,Sant'andrea dei lagni
89,
90,La torre
91,Aulpi
91,Avezzano
91,Baia azzurra-levagnole
91,Baia domizia
91,Carano
91,Casamare
91,Cascano
91,Castellone
91,Cescheto
91,Corbara
91,Corigliano
91,Cupa
91,Fasani
91,Fontanaradina
91,Gusti
91,Lauro
91,Levagnole
91,Li paoli
91,Maiano
91,Marzuli
91,Piedimonte
91,Ponte
91,Rongolise
91,San carlo
91,San castrese
91,San limato
91,San martino
91,Santa maria a valogno
91,Sorbello
91,Tuoro
91,Valogno
91,Vigne
91,Zelloni
92,
93,
94,Borgonuovo
94,Cappelle
94,Carbonara
94,Casafredda
94,Casale
94,Casamostra
94,Casi
94,Cipriani
94,Fontanelle
94,Furnolo
94,Gloriani
94,Magnano
94,Maiorisi
94,Pugliano
94,San giulianeta
94,San giuliano
94,San marco
94,Santa maria versano
94,Taverna zarone
94,Teano scalo
94,Tranzi
94,Tuoro
94,Versano
95,
96,
97,
98,Marzanello
98,Vairano scalo
99,
100,
101,Masseria arsa
101,Masseria san biagio
101,San sossio i
101,San sossio ii
101,San sossio iii
101,San sossio iv
102,
103,
