commune_id,month,day
0,Maggio,6.0
1,Agosto,11.0
2,,
3,Novembre,30.0
4,Gennaio,25.0
5,Giugno,15.0
6,,
7,Settembre,29.0
8,Ottobre,29.0
9,Maggio,22.0
10,,
11,Ottobre,4.0
12,Novembre,30.0
13,Agosto,16.0
14,Febbraio,5.0
15,Settembre,16.0
16,Agosto,7.0
17,Settembre,29.0
18,Settembre,12.0
19,Ottobre,15.0
20,Agosto,18.0
21,Maggio,26.0
22,Gennaio,20.0
23,Agosto,5.0
24,Settembre,8.0
25,Febbraio,11.0
26,Febbraio,3.0
27,Giugno,13.0
28,Maggio,16.0
29,Aprile,5.0
30,Novembre,3.0
31,Dicembre,6.0
32,Gennaio,20.0
33,,
34,,
35,Agosto,16.0
36,Agosto,3.0
37,Luglio,24.0
38,Settembre,8.0
39,Luglio,28.0
40,Giugno,13.0
41,Gennaio,17.0
42,Giugno,13.0
43,,
44,Agosto,29.0
45,Novembre,30.0
46,,
47,Agosto,1.0
48,,
49,Novembre,11.0
50,Settembre,29.0
51,Maggio,8.0
52,,
53,Giugno,13.0
54,,
55,Gennaio,15.0
56,Giugno,29.0
57,,
58,,
59,Giugno,2.0
60,Agosto,16.0
61,Settembre,1.0
62,,
63,,
64,Giugno,29.0
65,Maggio,12.0
66,Maggio,10.0
67,Dicembre,6.0
68,Settembre,29.0
69,Maggio,11.0
70,Gennaio,17.0
71,Maggio,8.0
72,,
73,Maggio,10.0
74,Settembre,1.0
75,Novembre,10.0
76,Settembre,26.0
77,Gennaio,14.0
78,,
79,Giugno,2.0
80,Aprile,25.0
81,Dicembre,6.0
82,Giugno,13.0
83,Febbraio,10.0
84,Settembre,1.0
85,Gennaio,16.0
86,Maggio,8.0
87,Maggio,24.0
88,Ottobre,22.0
89,Dicembre,6.0
90,Maggio,29.0
91,Maggio,8.0
92,,
93,,
94,Agosto,5.0
95,Dicembre,27.0
96,Febbraio,18.0
97,Settembre,29.0
98,Agosto,24.0
99,Agosto,16.0
100,Maggio,12.0
101,,
102,Agosto,15.0
103,,
